==========As_Se=========
System  Ratio  Ef          Source ICSD_ID                  ICSD   Aflow  Delta                         
NbxSy   0.667  -1.1875319  Nb_Se  Nb1Se2_ICSD_73093        False  True   0.09466                       
NbxSy   0.75   -0.933563   Nb_Se  Nb1Se3_ICSD_76578        False  True   0.02808                       
NbxSy   0.818  -0.6755019  Nb_Se  Nb2Se9_ICSD_8179         False  True   0.02388                       
NbxSy   0.6    -1.2049858  Nb_O   Nb2O3_ICSD_263119        False  False  0.08406                       
NbxSy   0.25   -0.5469145  V_S    S1V3_ICSD_26515          False  False  0.05213                       
NbxSy   0.25   -0.5330129  V_S    S1V3_ICSD_26516          False  False  0.06603                       
NbxSy   0.571  -1.203156   V_S    S4V3_ICSD_24566          False  False  0.07839                       
NbxSy   0.8    -0.7403901  V_S    S4V1_ICSD_16797          False  False  0.02893                       
NbxSy   0.143  -0.2986776  Ta_S   S1Ta6_ICSD_202564        False  False  0.04363                       
NbxSy   0.143  -0.2920411  Ta_S   S1Ta6_ICSD_16041         False  False  0.05027                       
NbxSy   0.333  -0.6913665  Ta_S   S1Ta2_ICSD_26184         False  False  0.08739                       
NbxSy   0.4    -0.8270842  Ta_S   S2Ta3_ICSD_71143         False  False  0.09246                       
NbxSy   0.333  -0.720426   Ti_S   S1Ti2_ICSD_110698        False  False  0.05833                       
NbxSy   0.75   -0.8818222  Ti_S   S3Ti1_ICSD_42072         False  False  0.07982                       
==========Cu_Se=========
System  Ratio  Ef          Source ICSD_ID                  ICSD   Aflow  Delta                         
CuxSey  1.0    0.030979    Se     Se8_ICSD_2718            True   None   0.03098                       
CuxSey  0.4    -0.1259407  Cu_Se  Cu3Se2_ICSD_16949        False  True   0.02154                       
CuxSey  0.4    -0.1249027  Cu_Se  Cu3Se2_ICSD_239          False  True   0.02257                       
CuxSey  0.4    -0.1179447  Cu_Se  Cu3Se2_ICSD_94687        False  True   0.02953                       
CuxSey  0.5    -0.1208448  Cu_Se  Cu1Se1_ICSD_82330        False  True   0.04302                       
CuxSey  0.5    -0.1191473  Cu_Se  Cu1Se1_ICSD_240          False  True   0.04472                       
CuxSey  0.667  -0.0959306  Cu_Se  Cu1Se2_ICSD_629033       False  True   0.01331                       
CuxSey  0.667  -0.0727406  Cu_Se  Cu1Se2_ICSD_94688        False  True   0.0365                        
CuxSey  0.667  -0.0945872  Cu_S   Cu1S2_ICSD_628781        False  False  0.01465                       
CuxSey  0.333  -0.0319791  Ag_Se  Ag2Se1_ICSD_15213        False  False  0.09092                       
CuxSey  0.5    -0.1242817  Ag_Se  Ag1Se1_ICSD_52601        False  True   0.03958                       
CuxSey  0.5    -0.0733587  Au_Se  Au1Se1_ICSD_73669        False  True   0.0905                        
==========Ta_Se=========
System  Ratio  Ef          Source ICSD_ID                  ICSD   Aflow  Delta                         
TaxSey  0.0    0.00243     Ta     Ta1_ICSD_76014           True   None   0.00243                       
TaxSey  0.0    0.0034133   Ta     Ta1_ICSD_96594           True   None   0.00341                       
TaxSey  0.0    0.0072867   Ta     Ta1_ICSD_652898          True   None   0.00729                       
TaxSey  1.0    0.030979    Se     Se8_ICSD_2718            False  None   0.03098                       
TaxSey  0.6    -0.7697192  Ta_Se  Se3Ta2_ICSD_42982        False  True   0.01805                       
TaxSey  0.667  -0.8471419  Ta_Se  Se2Ta1_ICSD_651961       False  True   0.00021                       
TaxSey  0.667  -0.8468327  Ta_Se  Se2Ta1_ICSD_26249        False  True   0.00052                       
TaxSey  0.667  -0.8466511  Ta_Se  Se2Ta1_ICSD_24316        False  True   0.0007                        
TaxSey  0.667  -0.8423771  Ta_Se  Se2Ta1_ICSD_52430        False  True   0.00497                       
TaxSey  0.667  -0.8328286  Ta_Se  Se2Ta1_ICSD_24318        False  True   0.01452                       
TaxSey  0.667  -0.8296236  Ta_Se  Se2Ta1_ICSD_89367        False  True   0.01773                       
TaxSey  0.667  -0.8135869  Ta_Se  Se2Ta1_ICSD_651958       False  True   0.03376                       
TaxSey  0.667  -0.8085169  Ta_Se  Se2Ta1_ICSD_651954       False  True   0.03883                       
TaxSey  0.75   -0.6879152  Ta_Se  Se3Ta1_ICSD_43243        False  False  0.00015                       
TaxSey  0.75   -0.6735032  Ta_Se  Se3Ta1_ICSD_651959       False  True   0.01456                       
